"Statistic Label","Month","Dwelling Status","Eircode Output","Stamp Duty Event","Type of Buyer","UNIT","VALUE"
"Volume of Sales","2010 December","New","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","241"
"Volume of Sales","2010 December","New","All","Filings","Household Buyer - Former Owner-Occupier","Number","118"
"Volume of Sales","2010 December","New","All","Filings","Household Buyer - Non-Occupier","Number","52"
"Volume of Sales","2010 December","New","All","Executions","All Buyer Types","Number","439"
"Volume of Sales","2010 December","New","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","258"
"Volume of Sales","2010 December","New","All","Executions","Household Buyer - Former Owner-Occupier","Number","121"
"Volume of Sales","2010 December","New","All","Executions","Household Buyer - Non-Occupier","Number","60"
"Volume of Sales","2010 December","Existing","All","Filings","All Buyer Types","Number","1037"
"Volume of Sales","2010 December","Existing","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","561"
"Volume of Sales","2010 December","Existing","All","Filings","Household Buyer - Former Owner-Occupier","Number","315"
"Volume of Sales","2010 December","Existing","All","Filings","Household Buyer - Non-Occupier","Number","161"
